"country","emissions_per_sqkm","gdp","gdp_rank"
"Zimbabwe","0.02810698208861261602","$21,440,758,800 ","111"
"Angola","0.02782786556509184246","$94,635,415,870 ","64"
"Djibouti","0.02672413793103448276","$3,318,716,359 ","155"
"Belize","0.02473221283636680310","$1,879,613,600 ","165"
"Uganda","0.02356474912669371634","$34,387,229,486 ","96"
"Yemen","0.02009402084974846960","$26,914,402,224 ","103"
"Iceland","0.02004854368932038835","$24,188,035,739 ","107"
"Gabon","0.01987917823265475385","$16,657,960,228 ","119"
"Bolivia","0.01966718885544170161","$40,895,322,865 ","88"
"Paraguay","0.01821011328770356384","$38,145,288,940 ","95"
"Burundi","0.01778656126482213439","$3,012,334,882 ","158"
"Cameroon","0.01743858320713444388","$38,760,467,033 ","93"
"Papua New Guinea","0.01628208452164894996","$24,969,611,435 ","105"
"Mongolia","0.01621874592421533953","$13,852,850,259 ","128"
"Sierra Leone","0.01523557290214664065","$3,941,474,311 ","154"
"Ethiopia","0.01346554378339219415","$96,107,662,398 ","62"
"Afghanistan","0.01329592321726998145","$19,101,353,833 ","113"
"Tanzania","0.01263907948907421092","$63,177,068,175 ","74"
"Burkina Faso","0.01246535375638220277","$15,745,810,235 ","121"
"Liberia","0.01244511488834415322","$3,070,518,100 ","157"
"Guinea","0.01218594548863770403","$13,590,281,809 ","130"
"Vanuatu","0.01206005414718188531","$917,058,851 ","175"
"Guyana","0.01108997111211383967","$4,280,443,645 ","152"
"Malawi","0.01095506566287431214","$7,666,704,427 ","143"
"Botswana","0.01089852680796933285","$18,340,510,789 ","115"
"Sudan","0.01074411598488087999","$18,902,284,476 ","114"
"Suriname","0.01060920522524722256","$3,985,250,737 ","153"
"Mozambique","0.00993645074933073132","$14,934,159,926 ","123"
"Guinea-Bissau","0.00811072664359861592","$1,340,389,411 ","171"
"Zambia","0.00683082254211299756","$23,064,722,446 ","110"
"Madagascar","0.00665200556690248211","$14,083,906,357 ","127"
"Eritrea","0.00604591836734693878","$2,065,001,626 ","163"
"Solomon Islands","0.00584856035437430786","$1,425,074,226 ","170"
"South Sudan","0.00268030773098836154","$11,997,800,751 ","135"
"Mauritania","0.00265741728922091782","$7,593,752,450 ","144"
"Mali","0.00256331277737640623","$17,510,141,171 ","118"
"Niger","0.00159194948697711129","$12,928,145,120 ","132"
"Somalia","0.00101151559537494296","$4,720,727,278 ","151"
"Congo (Kinshasa)","0.00086188587965667857","$47,319,624,204 ","86"
"Chad","0.00079127725856697819","$11,314,951,343 ","137"
"Central African Republic","0.00047673776533586737","$2,220,307,369 ","161"
